parameter,evergreen_broadleaf,deciduous_broadleaf,evergreen_needleleaf_conifer,local_deciduous_broadleaf,evergreen_broadleaf_Rhododendron,grass,shrub,evergreen_broadleaf (Schima/Quercus) | citation_short,deciduous_broadleaf (Sal) | citation_short,evergreen_needleleaf_conifer (Chir pine) | citation_short,local_deciduous_broadleaf | citation_short,evergreen_broadleaf_ericaceous (Rhododendron) | citation_short,grass | citation_short,shrub | citation_short
epc.day_leafoff,276,270,274,262,285,245,295,Myneni et al. (2021); Poudyal et al. (2012); Negi & Singh (1992),Myneni et al. (2021); Singh & Kushwaha (2005); Singh & Kushwaha (2016),Myneni et al. (2021); Zobel et al. (2001),Myneni et al. (2021); Singh & Kushwaha (2005); Negi & Singh (1992),Myneni et al. (2021); Poudyal et al. (2012); Krishna & Garkoti (2022)*,White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.day_leafon,10,79,7,25,28,90,60,Myneni et al. (2021); Poudyal et al. (2012); Negi & Singh (1992),Myneni et al. (2021); Singh & Kushwaha (2005); Borchert (1994),Myneni et al. (2021); Zobel et al. (2001),Myneni et al. (2021); Singh & Kushwaha (2005); Negi & Singh (1992),Myneni et al. (2021); Poudyal et al. (2012); Krishna & Garkoti (2022)*,White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.ndays_litfall,100,100,100,100,100,30,50,Myneni et al. (2021); Garkoti & Singh (1995); Garkoti (2014),Myneni et al. (2021); Singh & Kushwaha (2005),Myneni et al. (2021); Garkoti & Singh (1995),Myneni et al. (2021); Garkoti & Singh (1995),Myneni et al. (2021); Krishna & Garkoti (2022)*,White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
epc.ndays_expand,100,180,180,180,180,30,20,Myneni et al. (2021); Negi & Singh (1992),Myneni et al. (2021); Borchert (1994),Myneni et al. (2021); Zobel et al. (1995),Myneni et al. (2021); Negi & Singh (1992),Myneni et al. (2021); Poudyal et al. (2012),White et al. (2000); Thornton (1998),White et al. (2000); Thornton (1998)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Here, White et  al. (2000) and Thornton (1998) are cited from the Laurence lin github and also the Lin(n.d.) represents the values that are supported by the Laurence Lin github (https://github.com/laurencelin/GIS2RHESSys/blob/master/vegCollection.csv) ",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
